0000001722;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";04:17:23
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";50.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";5;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001019;    1.00; 0.00000e+00
0000000001;00:00:01;0000001019;    1.20;-1.10499e-08
0000000001;00:00:01;0000001019;    1.40; 0.00000e+00
0000000001;00:00:01;0000001019;    1.60; 0.00000e+00
0000000001;00:00:01;0000001019;    1.80; 0.00000e+00
0000000001;00:00:01;0000001019;    2.00; 0.00000e+00
0000000001;00:00:01;0000001019;    2.20; 0.00000e+00
0000000001;00:00:01;0000001019;    2.40; 0.00000e+00
0000000001;00:00:01;0000001019;    2.60; 0.00000e+00
0000000001;00:00:01;0000001019;    2.80; 0.00000e+00
0000000001;00:00:01;0000001019;    3.00; 0.00000e+00
0000000001;00:00:01;0000001019;    3.20; 0.00000e+00
0000000001;00:00:01;0000001019;    3.40; 0.00000e+00
0000000001;00:00:01;0000001019;    3.60; 0.00000e+00
0000000001;00:00:01;0000001019;    3.80; 0.00000e+00
0000000001;00:00:01;0000001019;    4.00;-1.10499e-08
0000000001;00:00:01;0000001019;    4.20;-1.10499e-08
0000000001;00:00:01;0000001019;    4.40; 0.00000e+00
0000000001;00:00:01;0000001019;    4.60; 0.00000e+00
0000000001;00:00:01;0000001019;    4.80; 0.00000e+00
0000000001;00:00:01;0000001019;    5.00; 0.00000e+00
0000000001;00:00:01;0000001019;    5.20; 0.00000e+00
0000000001;00:00:01;0000001019;    5.40; 0.00000e+00
0000000001;00:00:01;0000001019;    5.60; 0.00000e+00
0000000001;00:00:01;0000001019;    5.80; 1.10499e-08
0000000001;00:00:01;0000001019;    6.00; 0.00000e+00
0000000001;00:00:01;0000001019;    6.20; 0.00000e+00
0000000001;00:00:01;0000001019;    6.40; 0.00000e+00
0000000001;00:00:01;0000001019;    6.60; 0.00000e+00
0000000001;00:00:01;0000001019;    6.80; 0.00000e+00
0000000001;00:00:01;0000001019;    7.00; 0.00000e+00
0000000001;00:00:01;0000001019;    7.20;-1.10499e-08
0000000001;00:00:01;0000001019;    7.40;-1.10499e-08
0000000001;00:00:01;0000001019;    7.60; 0.00000e+00
0000000001;00:00:01;0000001019;    7.80; 0.00000e+00
0000000001;00:00:01;0000001019;    8.00; 0.00000e+00
0000000001;00:00:01;0000001019;    8.20; 0.00000e+00
0000000001;00:00:01;0000001019;    8.40;-1.10499e-08
0000000001;00:00:01;0000001019;    8.60; 0.00000e+00
0000000001;00:00:01;0000001019;    8.80; 0.00000e+00
0000000001;00:00:01;0000001019;    9.00; 0.00000e+00
0000000001;00:00:01;0000001019;    9.20; 0.00000e+00
