0000001722;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";01:00:29
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";35;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:00;0000000005;    1.00;-1.54699e-09
0000000001;00:00:00;0000000005;    1.20;-5.08299e-09
0000000001;00:00:00;0000000005;    1.40;-1.10499e-10
0000000001;00:00:00;0000000005;    1.60;-4.19899e-09
0000000001;00:00:00;0000000005;    1.80;-3.31499e-09
0000000001;00:00:00;0000000005;    2.00;-2.20999e-09
0000000001;00:00:00;0000000005;    2.20;-1.10499e-10
0000000001;00:00:00;0000000005;    2.40;-2.54149e-09
0000000001;00:00:00;0000000005;    2.60;-2.98349e-09
0000000001;00:00:00;0000000005;    2.80; 1.87849e-09
0000000001;00:00:00;0000000005;    3.00;-4.41999e-09
0000000001;00:00:00;0000000005;    3.20;-5.19349e-09
0000000001;00:00:00;0000000005;    3.40; 9.94490e-10
0000000001;00:00:00;0000000005;    3.60; 4.41999e-10
0000000001;00:00:00;0000000005;    3.80;-2.54149e-09
0000000001;00:00:00;0000000005;    4.00;-6.62999e-10
0000000001;00:00:00;0000000005;    4.20; 5.52499e-10
0000000001;00:00:00;0000000005;    4.40;-1.87849e-09
0000000001;00:00:00;0000000005;    4.60;-4.86199e-09
0000000001;00:00:00;0000000005;    4.80;-2.76249e-09
0000000001;00:00:00;0000000005;    5.00;-1.21549e-09
0000000001;00:00:00;0000000005;    5.20;-1.10499e-10
0000000001;00:00:00;0000000005;    5.40; 1.65749e-09
0000000001;00:00:00;0000000005;    5.60;-4.86199e-09
0000000001;00:00:00;0000000005;    5.80;-4.53049e-09
0000000001;00:00:00;0000000005;    6.00;-1.10499e-10
0000000001;00:00:00;0000000005;    6.20; 9.94490e-10
0000000001;00:00:00;0000000005;    6.40;-1.32599e-09
0000000001;00:00:00;0000000005;    6.60;-2.54149e-09
0000000001;00:00:00;0000000005;    6.80;-2.65199e-09
0000000001;00:00:00;0000000005;    7.00;-4.64099e-09
0000000001;00:00:00;0000000005;    7.20;-6.74049e-09
0000000001;00:00:00;0000000005;    7.40;-2.32049e-09
0000000001;00:00:00;0000000005;    7.60; 1.10499e-09
0000000001;00:00:00;0000000005;    7.80;-4.75149e-09
0000000001;00:00:00;0000000005;    8.00;-3.75699e-09
0000000001;00:00:00;0000000005;    8.20;-1.32599e-09
0000000001;00:00:00;0000000005;    8.40;-4.08849e-09
0000000001;00:00:00;0000000005;    8.60;-2.98349e-09
0000000001;00:00:00;0000000005;    8.80;-7.62440e-09
0000000001;00:00:00;0000000005;    9.00;-3.31499e-09
0000000001;00:00:00;0000000005;    9.20; 1.10499e-10
0000000001;00:00:00;0000000005;    9.40;-5.63549e-09
0000000001;00:00:00;0000000005;    9.60;-2.54149e-09
0000000001;00:00:00;0000000005;    9.80; 2.20999e-10
0000000001;00:00:00;0000000005;   10.00;-2.32049e-09
0000000001;00:00:00;0000000005;   10.20;-1.54699e-09
0000000001;00:00:00;0000000005;   10.40;-4.19899e-09
0000000001;00:00:00;0000000005;   10.60;-1.32599e-09
0000000001;00:00:00;0000000005;   10.80;-2.65199e-09
0000000001;00:00:00;0000000005;   11.00;-2.76249e-09
0000000001;00:00:00;0000000005;   11.20;-1.76799e-09
0000000001;00:00:00;0000000005;   11.40;-8.83999e-10
0000000001;00:00:00;0000000005;   11.60;-4.19899e-09
0000000001;00:00:00;0000000005;   11.80;-6.18799e-09
0000000001;00:00:00;0000000005;   12.00;-1.54699e-09
0000000001;00:00:00;0000000005;   12.20;-2.76249e-09
0000000001;00:00:00;0000000005;   12.40;-4.30949e-09
0000000001;00:00:00;0000000005;   12.60;-3.42549e-09
0000000001;00:00:00;0000000005;   12.80;-1.43649e-09
0000000001;00:00:00;0000000005;   13.00;-2.76249e-09
0000000001;00:00:00;0000000005;   13.20;-1.43649e-09
0000000001;00:00:00;0000000005;   13.40;-2.43099e-09
0000000001;00:00:00;0000000005;   13.60; 2.09949e-09
0000000001;00:00:00;0000000005;   13.80;-5.74599e-09
0000000001;00:00:00;0000000005;   14.00;-3.97799e-09
0000000001;00:00:00;0000000005;   14.20;-1.76799e-09
0000000001;00:00:00;0000000005;   14.40;-1.87849e-09
0000000001;00:00:00;0000000005;   14.60;-3.86749e-09
0000000001;00:00:00;0000000005;   14.80;-4.30949e-09
0000000001;00:00:00;0000000005;   15.00;-2.54149e-09
0000000001;00:00:00;0000000005;   15.20; 2.43099e-09
0000000001;00:00:00;0000000005;   15.40;-4.86199e-09
0000000001;00:00:00;0000000005;   15.60;-4.41999e-09
0000000001;00:00:00;0000000005;   15.80;-1.65749e-09
0000000001;00:00:00;0000000005;   16.00;-9.94490e-10
0000000001;00:00:00;0000000005;   16.20;-3.09399e-09
0000000001;00:00:00;0000000005;   16.40;-1.98899e-09
0000000001;00:00:00;0000000005;   16.60;-2.43099e-09
0000000001;00:00:00;0000000005;   16.80; 2.20999e-10
0000000001;00:00:00;0000000005;   17.00;-1.76799e-09
0000000001;00:00:00;0000000005;   17.20;-1.21549e-09
0000000001;00:00:00;0000000005;   17.40;-1.76799e-09
0000000001;00:00:00;0000000005;   17.60;-1.21549e-09
0000000001;00:00:00;0000000005;   17.80;-3.20449e-09
0000000001;00:00:00;0000000005;   18.00;-2.98349e-09
0000000001;00:00:00;0000000005;   18.20; 2.65199e-09
0000000001;00:00:00;0000000005;   18.40;-6.07749e-09
0000000001;00:00:00;0000000005;   18.60;-2.87299e-09
0000000001;00:00:00;0000000005;   18.80;-1.32599e-09
0000000001;00:00:00;0000000005;   19.00; 1.10499e-10
0000000001;00:00:00;0000000005;   19.20;-4.41999e-09
0000000001;00:00:00;0000000005;   19.40;-4.53049e-09
0000000001;00:00:00;0000000005;   19.60;-2.32049e-09
0000000001;00:00:00;0000000005;   19.80;-1.10499e-09
0000000001;00:00:00;0000000005;   20.00;-5.63549e-09
0000000001;00:00:00;0000000005;   20.20;-4.19899e-09
0000000001;00:00:00;0000000005;   20.40;-3.09399e-09
0000000001;00:00:00;0000000005;   20.60;-3.64649e-09
0000000001;00:00:00;0000000005;   20.80;-6.40899e-09
0000000001;00:00:00;0000000005;   21.00;-8.83999e-10
0000000001;00:00:00;0000000005;   21.20;-1.98899e-09
0000000001;00:00:00;0000000005;   21.40;-3.09399e-09
0000000001;00:00:00;0000000005;   21.60;-4.75149e-09
0000000001;00:00:00;0000000005;   21.80;-2.76249e-09
0000000001;00:00:00;0000000005;   22.00;-1.10499e-10
0000000001;00:00:00;0000000005;   22.20;-2.98349e-09
0000000001;00:00:00;0000000005;   22.40;-3.64649e-09
0000000001;00:00:00;0000000005;   22.60;-4.41999e-10
0000000001;00:00:00;0000000005;   22.80; 2.98349e-09
0000000001;00:00:00;0000000005;   23.00;-3.64649e-09
0000000001;00:00:00;0000000005;   23.20;-3.31499e-09
0000000001;00:00:00;0000000005;   23.40;-4.75149e-09
0000000001;00:00:00;0000000005;   23.60;-3.20449e-09
0000000001;00:00:00;0000000005;   23.80;-6.51949e-09
